name,zone_type,water_coverage,salinity,precipitation,plant_life,animal_life
tropical_rainforest,TROPICAL_RAINFOREST,80.0,0.0,400.0,5,5
tropical_monsoon,TROPICAL_MONSOON,70.0,0.0,300.0,4,4
tropical_savanna,TROPICAL_SAVANNA,40.0,0.0,150.0,3,4
subtropical_humid,SUBTROPICAL_HUMID,30.0,0.0,120.0,3,3
subtropical_dry,SUBTROPICAL_DRY,20.0,0.0,60.0,2,2
mediterranean,MEDITERRANEAN,30.0,20.0,80.0,3,3
temperate_oceanic,TEMPERATE_OCEANIC,50.0,30.0,100.0,4,3
temperate_continental,TEMPERATE_CONTINENTAL,30.0,0.0,70.0,3,3
temperate_steppe,TEMPERATE_STEPPE,20.0,0.0,40.0,2,2
temperate_desert,TEMPERATE_DESERT,10.0,10.0,20.0,1,1
boreal_forest,BOREAL_FOREST,40.0,0.0,60.0,3,2
boreal_tundra,BOREAL_TUNDRA,30.0,0.0,40.0,2,2
polar_tundra,POLAR_TUNDRA,20.0,0.0,20.0,1,1
polar_ice_cap,POLAR_ICE_CAP,90.0,30.0,10.0,1,1
alpine,ALPINE,30.0,0.0,100.0,2,2
